[?1034hType                                  Module                 Label             Process   
vector<int>                           "jhuAk5"               "AK5PartonFlavour"   "jhu"     
vector<int>                           "jhuHep"               "HEPTopTaggedPartonFlavour"   "jhu"     
vector<int>                           "jhuCa8pp"             "PrunedCA8PartonFlavour"   "jhu"     
vector<int>                           "jhuCa8tt"             "TopTaggedCA8PartonFlavour"   "jhu"     
vector<int>                           "jhuCa8"               "UnprunedCA8PartonFlavour"   "jhu"     
vector<int>                           "jhuElePFlowLoose"     "electronLoosecharge"   "jhu"     
vector<int>                           "jhuElePFlow"          "electroncharge"   "jhu"     
vector<int>                           "jhuMuonPFlowLoose"    "muonLoosecharge"   "jhu"     
vector<int>                           "jhuMuonPFlow"         "muoncharge"      "jhu"     
vector<unsigned int>                  "jhuAk5"               "AK5nsub"         "jhu"     
vector<unsigned int>                  "jhuHep"               "HEPTopTaggednsub"   "jhu"     
vector<unsigned int>                  "jhuCa8pp"             "PrunedCA8nsub"   "jhu"     
vector<unsigned int>                  "jhuCa8tt"             "TopTaggedCA8nsub"   "jhu"     
vector<unsigned int>                  "jhuCa8"               "UnprunedCA8nsub"   "jhu"     
vector<unsigned int>                  "jhuElePFlowLoose"     "electronLooseisloose"   "jhu"     
vector<unsigned int>                  "jhuElePFlowLoose"     "electronLooseispseudoloose"   "jhu"     
vector<unsigned int>                  "jhuElePFlowLoose"     "electronLooseispseudotight"   "jhu"     
vector<unsigned int>                  "jhuElePFlowLoose"     "electronLooseistight"   "jhu"     
vector<unsigned int>                  "jhuElePFlowLoose"     "electronLoosemodtight"   "jhu"     
vector<unsigned int>                  "jhuElePFlow"          "electronisloose"   "jhu"     
vector<unsigned int>                  "jhuElePFlow"          "electronispseudoloose"   "jhu"     
vector<unsigned int>                  "jhuElePFlow"          "electronispseudotight"   "jhu"     
vector<unsigned int>                  "jhuElePFlow"          "electronistight"   "jhu"     
vector<unsigned int>                  "jhuElePFlow"          "electronmodtight"   "jhu"     
vector<unsigned int>                  "jhuMuonPFlowLoose"    "muonLooseisloose"   "jhu"     
vector<unsigned int>                  "jhuMuonPFlowLoose"    "muonLooseispseudoloose"   "jhu"     
vector<unsigned int>                  "jhuMuonPFlowLoose"    "muonLooseispseudotight"   "jhu"     
vector<unsigned int>                  "jhuMuonPFlowLoose"    "muonLooseistight"   "jhu"     
vector<unsigned int>                  "jhuMuonPFlowLoose"    "muonLoosemodtight"   "jhu"     
vector<unsigned int>                  "jhuMuonPFlow"         "muonisloose"     "jhu"     
vector<unsigned int>                  "jhuMuonPFlow"         "muonispseudoloose"   "jhu"     
vector<unsigned int>                  "jhuMuonPFlow"         "muonispseudotight"   "jhu"     
vector<unsigned int>                  "jhuMuonPFlow"         "muonistight"     "jhu"     
vector<unsigned int>                  "jhuMuonPFlow"         "muonmodtight"    "jhu"     
unsigned int                          "jhuGen"               "npv"             "jhu"     
unsigned int                          "jhuGen"               "npvTrue"         "jhu"     
